Product,Region,Country,Operating Company,Location,Source,Capacity (kt),Latitude,Longitude,Coordinate Status
Phthalic Anhydride,Northeast Asia,China,Shandong Hongxin Chemicals,Zibo,Orthoxylene,120.0,,,needs coordinate validation
Phthalic Anhydride,Northeast Asia,China,Shijia Chemical,Xiamen,Orthoxylene,36.0,,,needs coordinate validation
Phthalic Anhydride,Northeast Asia,China,Shijiazhuang Balong,Shijiazhuang,Orthoxylene,40.0,,,needs coordinate validation
Phthalic Anhydride,Northeast Asia,China,Taizhou Union Chemical Industry,Taizhou,Orthoxylene,190.0,,,needs coordinate validation
Phthalic Anhydride,Northeast Asia,China,Tianjin Solvent Factory,Tianjin,Orthoxylene,39.0,,,needs coordinate validation
Phthalic Anhydride,Northeast Asia,China,Tonghua Iron & Steel Group,Tongling,Orthoxylene,20.0,,,needs coordinate validation
Phthalic Anhydride,Northeast Asia,China,Zhongshan Unicizers Industrial,Zhongshan,Orthoxylene,35.0,,,needs coordinate validation
Phthalic Anhydride,Northeast Asia,China,Zhuhai Unicizers Chemical,Zhuhai,Orthoxylene,105.0,,,needs coordinate validation
Phthalic Anhydride,Northeast Asia,Japan,Nippon Steel & Sumikin Chemical,Sakai,Orthoxylene,33.0,,,needs coordinate validation
Phthalic Anhydride,Northeast Asia,Japan,Kawasaki Kasei,Kawasaki,Orthoxylene,100.0,,,needs coordinate validation
Phthalic Anhydride,Northeast Asia,Japan,Mitsubishi Gas Chemical,Mizushima,Orthoxylene,100.0,,,needs coordinate validation
Phthalic Anhydride,Northeast Asia,Japan,Toho Rika Kogyo KK,Nagoya,Orthoxylene,30.0,,,needs coordinate validation
Phthalic Anhydride,Northeast Asia,South Korea,Aekyung,Ulsan,Orthoxylene,360.0,,,needs coordinate validation
Phthalic Anhydride,Northeast Asia,South Korea,LG Chem,Yeosu,Orthoxylene,60.0,,,needs coordinate validation
Phthalic Anhydride,Northeast Asia,South Korea,OCI,Ulsan,Orthoxylene,75.0,,,needs coordinate validation
Phthalic Anhydride,Northeast Asia,South Korea,OCI,Pohang,Orthoxylene,60.0,,,needs coordinate validation
Phthalic Anhydride,Northeast Asia,Taiwan,Formosa Plastics,Mailiao,Orthoxylene,200.0,23.79,120.18,validated
Phthalic Anhydride,Northeast Asia,Taiwan,UPC Group,Kaohsiung,Orthoxylene,85.0,,,needs coordinate validation
Phthalic Anhydride,Southeast Asia,Indonesia,Petrowidada,Gresik,Orthoxylene,70.0,,,needs coordinate validation
Phthalic Anhydride,Southeast Asia,Malaysia,BASF Petronas,Gebeng,Orthoxylene,40.0,,,needs coordinate validation
Phthalic Anhydride,Southeast Asia,Thailand,Continental Chemicals,Bangkok,Orthoxylene,50.0,,,needs coordinate validation
Phthalic Anhydride,Australasia,Australia,CSR Chemicals,Rhodes,Orthoxylene,8.0,,,needs coordinate validation
Toluene Diamine,North America,US,BASF,Geismar, ,336.0,,,needs coordinate validation
Toluene Diamine,North America,US,Covestro,Baytown, ,200.0,,,needs coordinate validation
Toluene Diamine,North America,US,Air Products,Pasadena [TX], ,214.0,,,needs coordinate validation
Toluene Diamine,Latin America and Caribbean,Argentina,Petroquimica Rio Tercero,Cordoba, ,23.0,,,needs coordinate validation
Toluene Diamine,Latin America and Caribbean,Brazil,Dow,Camacari, ,99.0,,,needs coordinate validation
Toluene Diamine,Western Europe,France,Vencorex,Pont De Claix, ,0.0,,,needs coordinate validation
Toluene Diamine,Western Europe,Germany,BASF,Ludwigshafen, ,240.0,,,needs coordinate validation
Toluene Diamine,Western Europe,Germany,BASF,Schwarzheide, ,0.0,,,needs coordinate validation
Toluene Diamine,Western Europe,Germany,Covestro,Dormagen, ,240.0,,,needs coordinate validation
Toluene Diamine,Central and Eastern Europe,Hungary,BorsodChem,Kazincbarcika, ,224.0,,,needs coordinate validation
Toluene Diamine,Middle East,Iran,Karoon Petrochemical,Bandar Imam, ,40.0,30.44,49.08,validated
Toluene Diamine,Middle East,Saudi Arabia,Sadara,Al Jubail, ,160.0,27.0,49.66,validated
Toluene Diamine,South Asia,India,Gujarat Narmada Valley Fertilizers,Dahej, ,62.0,,,needs coordinate validation
Toluene Diamine,South Asia,India,Gujarat Narmada Valley Fertilizers,Narmada Nagar, ,17.0,,,needs coordinate validation
Toluene Diamine,Northeast Asia,China,BASF,Shanghai, ,135.0,,,needs coordinate validation
Toluene Diamine,Northeast Asia,China,"Bayer, Sinopec",Shanghai, ,210.0,,,needs coordinate validation
Toluene Diamine,Northeast Asia,China,Sinopec Cangzhou,Cangzhou, ,126.0,,,needs coordinate validation
Toluene Diamine,Northeast Asia,Japan,Mitsubishi Chemical,Kurosaki, ,9.0,,,needs coordinate validation
Toluene Diamine,Northeast Asia,Japan,Mitsui Chemicals,Omuta, ,91.0,,,needs coordinate validation
Toluene Diamine,Northeast Asia,Japan,Nippon Polyurethane,Tokuyama, ,12.0,,,needs coordinate validation
Toluene Diamine,Northeast Asia,Japan,Sumitomo Chemical,Niihama, ,22.0,,,needs coordinate validation
Toluene Diamine,Northeast Asia,Japan,Takeda,Kashima, ,26.0,,,needs coordinate validation
Toluene Diamine,Northeast Asia,South Korea,BASF,Yeosu, ,210.0,,,needs coordinate validation
Toluene Diamine,Northeast Asia,South Korea,Chinyang Fine Chemicals,Yeosu, ,9.0,,,needs coordinate validation
Toluene Diamine,Northeast Asia,South Korea,Korea Fine Chemical,Yeosu, ,56.0,,,needs coordinate validation
Toluene Diamine,Northeast Asia,Taiwan,Covestro,Taichung, ,50.0,,,needs coordinate validation
Other - Toluene,North America,US,Deltech,Baton Rouge, ,35.0,,,needs coordinate validation
Other - Toluene,North America,US,First Chemical,Pascagoula, ,19.0,,,needs coordinate validation
Other - Toluene,North America,US,Kalama Chemical,Kalama, ,4.0,,,needs coordinate validation
Other - Toluene,North America,US,Oxychem,Niagara Falls, ,26.0,,,needs coordinate validation
Other - Toluene,Latin America and Caribbean,Argentina,Monte,Buenos Aires, ,1.0,,,needs coordinate validation
Other - Toluene,Western Europe,Belgium,Ferro,Antwerp, ,14.0,,,needs coordinate validation
Other - Toluene,Western Europe,Belgium,INOVYN,Tessenderlo, ,30.0,,,needs coordinate validation
Other - Toluene,Western Europe,Germany,BASF,Schwarzheide, ,0.0,,,needs coordinate validation
Other - Toluene,Western Europe,Germany,Lanxess,Krefeld-Uerdingen, ,50.0,,,needs coordinate validation
Other - Toluene,Western Europe,Germany,Lanxess,Leverkusen, ,160.0,,,needs coordinate validation
Other - Toluene,Western Europe,Germany,Celanese,Frankfurt, ,15.0,,,needs coordinate validation
Other - Toluene,Western Europe,Italy,Hydrochem Italia,Pieve Vergonte, ,22.0,,,needs coordinate validation
Other - Toluene,Western Europe,Netherlands,Emerald Performance Materials,Botlek, ,96.0,,,needs coordinate validation
Other - Toluene,Western Europe,United Kingdom,Associated Octel,Ellesmere Port, ,3.0,,,needs coordinate validation
Other - Toluene,Western Europe,United Kingdom,Croda,Oldbury, ,10.0,,,needs coordinate validation
Other - Toluene,Central and Eastern Europe,Estonia,Eastman Chemical,Kohtla-Jarve, ,30.0,,,needs coordinate validation
Other - Toluene,South Asia,India,Gujarat Narmada Valley Fertilizers,Narmada Nagar, ,9.0,,,needs coordinate validation
Other - Toluene,South Asia,India,Hindustan Organic Chemicals,Rasayani, ,0.0,,,needs coordinate validation
Other - Toluene,South Asia,India,Indian Oil Corporation,Koyali, ,3.0,,,needs coordinate validation
Other - Toluene,South Asia,India,Lanxess,Jhagadia, ,50.0,,,needs coordinate validation
Other - Toluene,South Asia,India,Gujarat Industrial Development Corporation,Vadodara, ,19.0,,,needs coordinate validation
Other - Toluene,South Asia,India,Indian Organic Chemicals,Mumbai, ,3.0,,,needs coordinate validation
Other - Toluene,Northeast Asia,Japan,Mitsui Chemicals,Iwakuni, ,40.0,,,needs coordinate validation
Other - Toluene,Northeast Asia,Japan,Sumitomo Chemical,Chiba, ,50.0,,,needs coordinate validation
Orthoxylene,North America,Canada,Suncor,Montreal, ,20.0,45.5,-73.57,validated
Orthoxylene,North America,Canada,Suncor,Sarnia, ,25.0,,,needs coordinate validation
Orthoxylene,North America,US,ExxonMobil,Baytown, ,139.0,,,needs coordinate validation
Orthoxylene,North America,US,Flint Hills Resources,Corpus Christi, ,225.0,,,needs coordinate validation
Orthoxylene,Latin America and Caribbean,Argentina,YPF,Ensenada, ,25.0,-34.86,-57.91,validated
Orthoxylene,Latin America and Caribbean,Brazil,Braskem,Camacari, ,62.0,,,needs coordinate validation
Orthoxylene,Latin America and Caribbean,Brazil,Braskem,Sao Paulo, ,50.0,-23.55,-46.63,validated
Orthoxylene,Latin America and Caribbean,Colombia,Ecopetrol,Barrancabermeja, ,35.0,,,needs coordinate validation
Orthoxylene,Latin America and Caribbean,Venezuela,Corpoven,Puerto Cabello, ,48.0,,,needs coordinate validation
Orthoxylene,Western Europe,France,Total Petrochemicals,Gonfreville, ,115.0,,,needs coordinate validation
Orthoxylene,Western Europe,Germany,BP Europa,Gelsenkirchen, ,65.0,,,needs coordinate validation
Orthoxylene,Western Europe,Germany,PCK,Schwedt, ,39.0,,,needs coordinate validation
Orthoxylene,Western Europe,Germany,Shell Chemicals,Wesseling, ,60.0,,,needs coordinate validation
Orthoxylene,Western Europe,Netherlands,ExxonMobil,Botlek, ,130.0,,,needs coordinate validation
Orthoxylene,Western Europe,Portugal,Petrogal,Porto, ,0.0,,,needs coordinate validation
Orthoxylene,Western Europe,Spain,CEPSA,Algeciras, ,40.0,,,needs coordinate validation
Orthoxylene,Central and Eastern Europe,Belarus,Naftan,Novopolotsk, ,25.0,,,needs coordinate validation
Orthoxylene,Central and Eastern Europe,Hungary,MOL Petrochemicals,Szazhalombatta, ,50.0,,,needs coordinate validation
Orthoxylene,Central and Eastern Europe,Poland,PKN Orlen,Plock, ,60.0,,,needs coordinate validation
Orthoxylene,Central and Eastern Europe,Slovakia,Slovnaft,Bratislava, ,14.0,48.15,17.11,validated
Orthoxylene,Russia and Central Asia,Russia,Gazprom Neft,Omsk, ,165.0,,,needs coordinate validation
Orthoxylene,Russia and Central Asia,Russia,Gazprom Neftekhim Salavat,Salavat, ,15.0,,,needs coordinate validation
Orthoxylene,Russia and Central Asia,Russia,Kirishinefteorgsintez,Kirishi, ,60.0,,,needs coordinate validation
Orthoxylene,Russia and Central Asia,Russia,Ufaneftekhim,Ufa, ,200.0,,,needs coordinate validation
Orthoxylene,Middle East,Iran,Bou Ali Sina Petrochemical,Bandar Imam, ,30.0,30.44,49.08,validated
Orthoxylene,Middle East,Iran,Esfahan Petrochemical,Esfahan, ,22.0,,,needs coordinate validation
Orthoxylene,Middle East,Iran,Kian Petrochemical,Assaluyeh, ,90.0,27.48,52.61,validated
Orthoxylene,Middle East,Iran,Nouri (Borzuyeh) Petrochemical,Assaluyeh, ,100.0,27.48,52.61,validated
Orthoxylene,Middle East,Israel,Gadiv Petrochemical,Haifa, ,55.0,,,needs coordinate validation
Orthoxylene,Middle East,Turkey,Petkim,Aliaga, ,40.0,,,needs coordinate validation
Orthoxylene,South Asia,India,Reliance,Jamnagar, ,468.0,,,needs coordinate validation
Orthoxylene,South Asia,Pakistan,Byco Oil,Mouza Kund, ,50.0,,,needs coordinate validation
Orthoxylene,Northeast Asia,China,Dalian Fujia Dahua,Dalian, ,100.0,,,needs coordinate validation
Orthoxylene,Northeast Asia,China,Jilin Petrochemical,Jilin City, ,160.0,,,needs coordinate validation
Orthoxylene,Northeast Asia,China,Liaoyang Petrochemical,Liaoyang, ,40.0,,,needs coordinate validation
Orthoxylene,Northeast Asia,China,Sinochem Quanzhou Petrochemical,Quanzhou, ,100.0,,,needs coordinate validation
Orthoxylene,Northeast Asia,China,Sinopec Hainan Petrochemical,Yangpu, ,160.0,,,needs coordinate validation
Orthoxylene,Northeast Asia,China,Sinopec Jinling Petrochemical,Nanjing, ,130.0,,,needs coordinate validation
Orthoxylene,Northeast Asia,China,Sinopec Qilu Petrochemical,Zibo, ,42.0,,,needs coordinate validation
Orthoxylene,Northeast Asia,China,Sinopec Yangzi Petrochemical,Nanjing, ,260.0,,,needs coordinate validation
Orthoxylene,Northeast Asia,China,Sinopec Zhenhai Refining & Chemical,Ningbo, ,160.0,,,needs coordinate validation
Orthoxylene,Northeast Asia,China,Fujian Fuhaichuang Petrochemical,Xiamen, ,240.0,,,needs coordinate validation
Orthoxylene,Northeast Asia,Japan,JXTG Nippon Oil & Energy,Kawasaki, ,80.0,,,needs coordinate validation
Orthoxylene,Northeast Asia,Japan,JXTG Nippon Oil & Energy,Mizushima, ,30.0,,,needs coordinate validation
Orthoxylene,Northeast Asia,Japan,JXTG Nippon Oil & Energy,Wakayama, ,70.0,,,needs coordinate validation
Orthoxylene,Northeast Asia,South Korea,Lotte Chemical,Ulsan, ,250.0,,,needs coordinate validation
Orthoxylene,Northeast Asia,South Korea,SK Global Chemicals,Ulsan, ,200.0,,,needs coordinate validation
Orthoxylene,Northeast Asia,Taiwan,Formosa Chemicals & Fiber Corporation,Mailiao, ,475.0,23.79,120.18,validated
Orthoxylene,Southeast Asia,Indonesia,TPPI,Tuban, ,120.0,,,needs coordinate validation
Orthoxylene,Southeast Asia,Singapore,ExxonMobil,Jurong Island, ,206.0,1.26,103.7,validated
Orthoxylene,Southeast Asia,Singapore,Jurong Aromatics,Jurong Island, ,200.0,1.26,103.7,validated
Orthoxylene,Southeast Asia,Thailand,PTT Global Chemical,Map Ta Phut, ,78.0,12.68,101.16,validated
Cresol,South Asia,India,Gujarat Industrial Development Corporation,Vadodara, ,4.0,,,needs coordinate validation
Cresol,Northeast Asia,Japan,Mitsui Chemicals,Chiba, ,24.0,,,needs coordinate validation
Cresol,Northeast Asia,Japan,Sumitomo Chemical,Ichihara, ,35.0,,,needs coordinate validation
Cresol,Northeast Asia,Japan,Honshu Chemical,Wakayama, ,20.0,,,needs coordinate validation
Metaxylene,North America,US,Flint Hills Resources,Corpus Christi, ,120.0,,,needs coordinate validation
Metaxylene,North America,US,Marathon Petroleum,Texas City, ,153.0,,,needs coordinate validation
Metaxylene,Northeast Asia,Taiwan,Formosa Chemicals & Fiber Corporation,Mailiao,,35.0,23.79,120.18,validated
Other - Orthoxylene,North America,US,Indorama Ventures,Decatur [AL], ,59.0,,,needs coordinate validation
Sub-total,,,,,,410271.5,,,needs coordinate validation
*Unspecified- Argus speculative capacity assumption,,,,,,,,,needs coordinate validation
