Region,Country,Plant,Location,Technology,C2 Capacity (kt),Severity,Op Rate,Ethane,E/P Mix,Propane,Butane,Naphtha,Gas Oil,Check
Middle East,Oman,ORPIC,Sohar,,800,,,,,,,,,
Middle East,Qatar,Q-Chem ,Mesaieed,Kellogg,500,,,,,,,,,
Middle East,Qatar,Q-Chem II / Qatofin,Ras Laffan,Technip,1300,,,,,,,,,
Middle East,Qatar,Qapco,Mesaieed,Lummus,900,,,,,,,,,
Middle East,Saudi Arabia,Saudi Kayan Petrochemical,Al Jubail,Kellogg,1440,,,,,,,,,
Middle East,Saudi Arabia,Jubail United,Al Jubail,Kellogg,1400,,,,,,,,,
Middle East,Saudi Arabia,Al-Jubail Petrochemical Co.,Al Jubail,Lummus,790,,,,,,,,,
Middle East,Saudi Arabia,Petrokemya ,Al Jubail,Kellogg,830,,,,,,,,,
Middle East,Saudi Arabia,Petrokemya ,Al Jubail,Lummus,800,,,,,,,,,
Middle East,Saudi Arabia,Petrokemya ,Al Jubail,Kellogg,800,,,,,,,,,
Middle East,Saudi Arabia,Sadaf,Al Jubail,Braun,1090,,,,,,,,,
Middle East,Saudi Arabia,Yansab,Yanbu,Technip,1300,,,,,,,,,
Middle East,Saudi Arabia,Yanpet,Yanbu,Lummus,1000,,,,,,,,,
Middle East,Saudi Arabia,Yanpet,Yanbu,Lummus,880,,,,,,,,,
Africa,South Africa,Sasol,Sasolburg,,90,,,,,,,,,
Africa,South Africa,Sasol,Secunda,,180,,,,,,,,,
Africa,South Africa,Sasol,Secunda,,405,,,,,,,,,
Middle East,Turkey,Petkim,Aliaga,S&W,587,,,,,,,,,
Australasia,Australia,Qenos,Botany,Linde,300,,,,,,,,,
Australasia,Australia,Flint Hills Resources,W. Footscray,,0,,,,,,,,,
Northeast Asia,China,Sinopec Fujian R&C Co.,Quanzhou,,1100,,,,,,,,,
Northeast Asia,China,CNOOC Shell,Huizhou,S&W,1000,,,,,,,,,
Northeast Asia,China,Sinopec Beijing Yanshan PC,Beijing,,820,,,,,,,,,
Northeast Asia,China,Tianjin Petrochemical,Tianjin,Lummus,1000,,,,,,,,,
Northeast Asia,China,Sinopec Tianjin United Chemical,Tianjin,Lummus,200,,,,,,,,,
Northeast Asia,China,Sinopec Zhongyuan PC,Puyang,Lummus,200,,,,,,,,,
Northeast Asia,China,BASF / Yangzi Pc,Nanjing,S&W,740,,,,,,,,,
Northeast Asia,China,Jiangsu Petrochemical,Nanjing,,10,,,,,,,,,
Northeast Asia,China,PetroChina Liaoyang PC,Liaoyang,Technip,200,,,,,,,,,
Northeast Asia,China,Liaoning Huajin Tongda,Panjin,,450,,,,,,,,,
Northeast Asia,China,Shanghai Secco Petrochemical,Caojing,,1200,,,,,,,,,
Northeast Asia,China,Sinopec Shanghai PC No. 2,Jinshan,S&W,900,,,,,,,,,
Northeast Asia,China,Sinopec Shanghai PC No. 1,Jinshan,S&W,,,,,,,,,,
Northeast Asia,China,PetroChina Company Limited,Dushanzi,Innovene G,220,,,,,,,,,
South Asia,India,Reliance,Jamnagar,,1500,,,,,,,,,
South Asia,India,BCPL,Lapetkata,Innovene G,220,,,,,,,,,
South Asia,India,Reliance,Vadodara,,0,,,,,,,,,
South Asia,India,Reliance,Vadodara,Lummus,200,,,,,,,,,
South Asia,India,Reliance,Dahej,S&W,440,,,,,,,,,
South Asia,India,Reliance,Hazira,S&W,910,,,,,,,,,
South Asia,India,Reliance,Nagothane,S&W,460,,,,,,,,,
South Asia,India,Nocil,Thane,S&W,,,,,,,,,,
South Asia,India,Gas Authority Of India,Auraiya,S&W,450,,,,,,,,,
South Asia,India,Indian Glycols,Khanpoor,,120,,,,,,,,,
South Asia,India,Haldia PC,Haldia,Lummus,700,,,,,,,,,
Southeast Asia,Indonesia,Chandra Asri,Cilegon,,860,,,,,,,,,
Southeast Asia,Indonesia,Unspecified,Unspecified,,0,,,,,,,,,
Northeast Asia,Japan,Idemitsu Kosan,Chiba,Kellogg,413,,,,,,,,,
Northeast Asia,Japan,Maruzen Petrochemical,Chiba,Lummus,525,,,,,,,,,
Northeast Asia,Japan,Mitsui Chemicals,Chiba,S&W,612,,,,,,,,,
Northeast Asia,Japan,Keiyo Ethylene,Chiba,Lummus,757,,,,,,,,,
Northeast Asia,Japan,Mitsui Chemicals,Iwakuni,,0,,,,,,,,,
Northeast Asia,Japan,Mitsubishi Chemical No.1,Kashima,,,,,,,,,,,
Northeast Asia,Japan,Mitsubishi Chemical No.2,Kashima,,541,,,,,,,,,
Northeast Asia,Japan,JX Nippon Oil,Kawasaki,S&W,432,,,,,,,,,
Northeast Asia,Japan,Tonen General,Kawasaki,ERE,540,,,,,,,,,
Northeast Asia,Japan,Asahi Kasei Chemicals Corp.,Mizushima,,,,,,,,,,,
Northeast Asia,Japan,Mitsubishi Chemical,Mizushima,Lummus,570,,,,,,,,,
Northeast Asia,Japan,Showa Denko,Oita,S&W,691,,,,,,,,,
Northeast Asia,Japan,Mitsui Chemicals,Osaka,Lummus,600,,,,,,,,,
Northeast Asia,Japan,Idemitsu Kosan,Tokuyama,UOP-Kellogg,686,,,,,,,,,
Northeast Asia,Japan,Tosoh Corp,Yokkaichi,Lummus,527,,,,,,,,,
Southeast Asia,Malaysia,Lotte Chemical Titan,Pasir Gudang,,440,,,,,,,,,
Southeast Asia,Malaysia,Lotte Chemical Titan,Pasir Gudang,S&W,290,,,,,,,,,
Southeast Asia,Malaysia,Optimal Olefins Malaysia,Kerteh,,600,,,,,,,,,
Southeast Asia,Malaysia,Ethylene Malaysia,Kerteh,Lummus,400,,,,,,,,,
Northeast Asia,North Korea,State,Pyongyang,S&W,60,,,,,,,,,
Southeast Asia,Philippines,JG Summit,Batangas,,320,,,,,,,,,
Southeast Asia,Singapore,ExxonMobil No.1,Pulau Ayer  Chawan,,875,,,,,,,,,
Southeast Asia,Singapore,PCS 2,Pulau Ayer Merbau,,515,,,,,,,,,
Southeast Asia,Singapore,PCS 1,Pulau Ayer Merbau,S&W,625,,,,,,,,,
Southeast Asia,Singapore,Shell,Pulau Bukom,,1000,,,,,,,,,
Northeast Asia,South Korea,LG Chemicals,Daesan,,940,,,,,,,,,
Northeast Asia,South Korea,Lotte Chemical,Daesan,Kellogg,1000,,,,,,,,,
Northeast Asia,South Korea,Hanwha Total,Daesan,Lummus/Crest,1090,,,,,,,,,
Northeast Asia,South Korea,KPIC,Ulsan,Lummus/Crest,800,,,,,,,,,
Northeast Asia,South Korea,SK Energy 2,Ulsan,Kellogg,680,,,,,,,,,
Northeast Asia,South Korea,SK Energy 1,Ulsan,Kellogg,190,,,,,,,,,
Northeast Asia,South Korea,Lotte Chemical,Yeosu,Lummus,1000,,,,,,,,,
Northeast Asia,South Korea,LG Chem,Yeosu,Lummus,1100,,,,,,,,,
Northeast Asia,South Korea,YNCC No.1,Yeosu,Lummus/Crest,835,,,,,,,,,
Northeast Asia,South Korea,YNCC No.2,Yeosu,S&W,800,,,,,,,,,
Northeast Asia,South Korea,YNCC No.3,Yeosu,Lummus/Crest,450,,,,,,,,,
Northeast Asia,Taiwan,Formosa PCC No.1,Mailiao,S&W,720,,,,,,,,,
Northeast Asia,Taiwan,Chinese Petroleum No. 1,Kaohsiung,,0,,,,,,,,,
Northeast Asia,Taiwan,Chinese Petroleum No. 2,Kaohsiung,,0,,,,,,,,,
Northeast Asia,Taiwan,Chinese Petroleum No. 5,Kaohsiung,Kellogg,0,,,,,,,,,
Northeast Asia,Taiwan,Chinese Petroleum No. 3,Lin-Yuan,,0,,,,,,,,,
Northeast Asia,Taiwan,Chinese Petroleum No. 4,Lin-Yuan,,385,,,,,,,,,
Northeast Asia,Taiwan,Formosa PCC No.2,Mailiao,Lummus,1035,,,,,,,,,
Northeast Asia,Taiwan,Chinese Petroleum,Lin-Yuan,,0,,,,,,,,,
Southeast Asia,Thailand,PTT Chemicals,Map Ta Phut,,1000,,,,,,,,,
Southeast Asia,Thailand,PTT Chemicals,Map Ta Phut,Lummus,467,,,,,,,,,
Southeast Asia,Thailand,Rayong Olefins,Map Ta Phut,Lummus,800,,,,,,,,,
Southeast Asia,Thailand,PTT Chemicals,Map Ta Phut,S&W,515,,,,,,,,,
Southeast Asia,Thailand,PTT Chemicals,Map Ta Phut,,400,,,,,,,,,
Southeast Asia,Thailand,Integrated Refining and Petrochemical Co.,Rayong,Linde,430,,,,,,,,,
Southeast Asia,Vietnam,Long Son Petrochemicals,Vung Tau,,1400,,,,,,,,,
Central and Eastern Europe,Bulgaria,Lukoil Neftokhim Burgas,Burgas,,0,,,,,,,,,
Central and Eastern Europe,Bulgaria,Lukoil Neftokhim Burgas,Burgas,Kellogg,0,,,,,,,,,
Russia and Central Asia,Azerbaijan,Azerikhimia,Sumgait,,300,,,,,,,,,
Central and Eastern Europe,Belarus,Polimir,Novopolotsk,,120,,,,,,,,,
Central and Eastern Europe,Belarus,Polimir,Novopolotsk,,60,,,,,,,,,
Russia and Central Asia,Kazakhstan,AO Atoll,Atyrau,,0,,,,,,,,,
Russia and Central Asia,Russia,Angarsk PCC,Angarsk,,450,,,,,,,,,
Russia and Central Asia,Russia,Stavrolen ,Budyennovsk,Linde,350,,,,,,,,,
Russia and Central Asia,Russia,Kazanorgsyntez,Kazan,Lummus,640,,,,,,,,,
Russia and Central Asia,Russia,Sibur-Neftekhim,Nizhniy Novgor,,360,,,,,,,,,
Russia and Central Asia,Russia,Nizhnekamskneftekhim,Nizhnekamsk,,1800,,,,,,,,,
Russia and Central Asia,Russia,Gazprom,Novy Urengoi,Linde,420,,,,,,,,,
Russia and Central Asia,Russia,Omsk Kauchuk,Omsk,,,,,,,,,,,
Russia and Central Asia,Russia,Sibur-Khimprom,Perm,,60,,,,,,,,,
Russia and Central Asia,Russia,Gazprom Neftekhim Salavat,Salavat,,340,,,,,,,,,
Russia and Central Asia,Russia,Neftekhimya Samara,Samara,,180,,,,,,,,,
