Region,Country,Plant,Location,Technology,C2 Capacity (kt),Severity,Op Rate,Ethane,E/P Mix,Propane,Butane,Naphtha,Gas Oil,Check
Middle East,Abu Dhabi,Borouge 1,Ruwais,KTI/Technimont,600,,,,,,,,,
Africa,Algeria,Enip/Repsol,Arzew,,0,,,,,,,,,
Africa,Algeria,Enip,Skikda,Linde,138,,,,,,,,,
Africa,Egypt,Sidi Krir PC,Alexandria,Lummus/Crest,300,,,,,,,,,
Africa,Egypt,Unspecified,Damietta,,400,,,,,,,,,
Africa,Egypt,Tahrir Petrochemicals,Ain Sokhna,,1350,,,,,,,,,
Middle East,Iran,Abadan PC,Abadan,,48,,,,,,,,,
Middle East,Iran,Arak Petrochemical,Arak,KTI/TPL,306,,,,,,,,,
Middle East,Iran,Olefins 11,Asaluyeh,Technip,2000,,,,,,,,,
Middle East,Iran,Olefins 10,Asaluyeh,Technip,1320,,,,,,,,,
Middle East,Iran,Arya Sasol PC,Asaluyeh,Technip,1000,,,,,,,,,
Middle East,Iran,Olefins 6,Bandar Imam,Linde,520,,,,,,,,,
Middle East,Iran,Gachsaran PC,Gachsaran,Linde,1000,,,,,,,,,
Middle East,Iran,BIPC,Bandar Imam,Lummus/Crest,411,,,,,,,,,
Middle East,Iran,Olefins 7,Bandar Imam,Linde,1100,,,,,,,,,
Middle East,Iran,Tabriz PC,Tabriz,KTI/TPL,136,,,,,,,,,
Middle East,Iraq,Iraq PC,Basrah,,0,,,,,,,,,
Middle East,Iraq,Iraq PC,Mussayed,S&W,0,,,,,,,,,
Middle East,Israel,Carmel Olefins,Haifa,,240,,,,,,,,,
Middle East,Kuwait,Equate Petrochemical,Shuaybah,Technip,850,,,,,,,,,
Middle East,Kuwait,Equate Petrochemical,Shuaybah,Technip,1005,,,,,,,,,
Africa,Libya,Rasco,Ras Lanuf,S&W,330,,,,,,,,,
Africa,Nigeria,Eleme Petrochemical,Port Harcourt,Kellogg,280,,,,,,,,,
